0|0,0|0.015625,0|0.25,0|0.5,0|1,1|0,1|0.015625,1|0.25,1|0.5,1|1,2|0,2|0.015625,2|0.25,2|0.5,2|1,3|0,3|0.015625,3|0.25,3|0.5,3|1,4|0,4|0.015625,4|0.25,4|0.5,4|1,5|0,5|0.015625,5|0.25,5|0.5,5|1,6|0,6|0.015625,6|0.25,6|0.5,6|1,7|0,7|0.015625,7|0.25,7|0.5,7|1,8|0,8|0.015625,8|0.25,8|0.5,8|1,9|0,9|0.015625,9|0.25,9|0.5,9|1,10|0,10|0.015625,10|0.25,10|0.5,10|1,11|0,11|0.015625,11|0.25,11|0.5,11|1
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0.333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.166667,0,0,0.166667,0,0,0,0.166667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235,0,0,0,0,0.352941,0,0,0,0,0,0,0,0,0,0.0588235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.352941,0,0,0,0,0,0,0.0588235,0,0,0.117647,0,0,0,0,0,0
0,0,0,0,0.176471,0,0,0,0,0.0294118,0,0,0,0,0,0,0,0,0,0.0294118,0,0,0,0,0.0294118,0,0,0,0,0.0294118,0,0,0,0,0,0,0,0,0.0294118,0.117647,0,0,0,0.0294118,0.5,0,0,0,0,0,0,0,0,0,0.0294118,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0.0625,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0.0625,0,0,0,0,0,0,0,0,0.1875,0,0,0,0,0.1875,0.1875,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0
0,0,0,0,0,0.0769231,0,0,0,0.0769231,0,0,0,0,0,0,0,0,0,0.0769231,0,0,0,0,0,0,0,0,0,0.153846,0,0,0,0,0,0,0,0,0,0.0769231,0,0,0,0,0.230769,0,0,0,0,0,0,0,0,0,0.307692,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
